name,address,tax_id,incorporation_date,phone,email,company_type,status,field_of_business,hosocongty_url,masothue_url,scraping_time
CTY CỔ PHẦN CÔNG NGHỆ ĐẠI NAM,"31 Đường Số 23 P. Tân Quy, Phường Tân Quy, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",0305163471,10/09/2007,,,Công ty cổ phần,,Hoạt động dịch vụ hỗ trợ kinh doanh khác chưa được phân vào đâu,https://hosocongty.vn/cty-co-phan-cong-nghe-dai-nam-com-52440.htm,https://thuvienphapluat.vn/ma-so-thue/cty-co-phan-cong-nghe-dai-nam-mst-0305163471.html,2024-08-10 16:46:54
CÔNG TY CỔ PHẦN VẬT LIỆU XÂY DỰNG PHÚ LỢI,"350 Quốc lộ 1A, Phường Bình Hưng Hòa B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",0312276620,15/05/2013,0866797189,,Công ty cổ phần,,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",https://hosocongty.vn/cong-ty-co-phan-vat-lieu-xay-dung-phu-loi-com-10772.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-vat-lieu-xay-dung-phu-loi-mst-0312276620.html,2024-08-10 16:46:57
CÔNG TY TNHH MỸ PHẨM SÁNG HỒNG NHẤT NHẤT,"Số 13 Đường 51, Khu phố 8, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",0312477581,25/09/2013,0917111555,,,,Bán buôn đồ dùng khác cho gia đình,https://hosocongty.vn/cong-ty-tnhh-my-pham-sang-hong-nhat-nhat-com-1.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-my-pham-sang-hong-nhat-nhat-mst-0312477581.html,2024-08-10 16:47:05
CÔNG TY TNHH MỘT THÀNH VIÊN PHAN HOÀNG PHÚC,"64 Tiểu La, Phường An Mỹ, Thành phố Tam Kỳ, Tỉnh Quảng Nam, Việt Nam",4000800726,04/03/2011,0905978332,,Công ty TNHH một thành viên,,Vận tải hàng hoá bằng đường bộ,https://hosocongty.vn/cong-ty-tnhh-mot-thanh-vien-phan-hoang-phuc-com-2.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mot-thanh-vien-phan-hoang-phuc-mst-4000800726.html,2024-08-10 16:47:09
CÔNG TY TNHH HOÀNG NGHĨA HƯNG,"Thôn Hòa An, Xã Tam Giang, Huyện Núi Thành, Tỉnh Quảng Nam, Việt Nam",4000914191,09/01/2013,05103561777,,,,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",https://hosocongty.vn/cong-ty-tnhh-hoang-nghia-hung-com-3.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-hoang-nghia-hung-mst-4000914191.html,2024-08-10 16:47:17
DOANH NGHIỆP TƯ NHÂN QUÁCH THỊ THU THỦY,"Số 683/34 Trần Khánh Dư, Phường An Hòa, Thành phố Rạch Giá, Tỉnh Kiên Giang, Việt Nam",1701965914,09/07/2014,0918505718,,Doanh nghiệp tư nhân,,Khai thác thuỷ sản biển,https://hosocongty.vn/doanh-nghiep-tu-nhan-quach-thi-thu-thuy-com-4.htm,https://thuvienphapluat.vn/ma-so-thue/doanh-nghiep-tu-nhan-quach-thi-thu-thuy-mst-1701965914.html,2024-08-10 16:47:38
DOANH NGHIỆP TƯ NHÂN HÙNG PHÁT BA THAO,"Số 04, ấp 5, Xã Mỹ Yên, Huyện Bến Lức, Tỉnh Long An, Việt Nam",1101772879,17/11/2014,0907977684,,Doanh nghiệp tư nhân,,"Bán buôn máy móc, thiết bị và phụ tùng máy nông nghiệp",https://hosocongty.vn/doanh-nghiep-tu-nhan-hung-phat-ba-thao-com-5.htm,https://thuvienphapluat.vn/ma-so-thue/doanh-nghiep-tu-nhan-hung-phat-ba-thao-mst-1101772879.html,2024-08-10 16:47:52
CÔNG TY TRÁCH NHIỆM HỮU HẠN SẢN XUẤT- THƯƠNG MẠI NHỰA NGỌC THẠCH,"Lô H 03, đường số 2, khu công nghiệp Long Hậu, Xã Long Hậu, Huyện Cần Giuộc, Tỉnh Long An, Việt Nam",1101772029,11/11/2014,0837818934,,,,Sản xuất plastic và cao su tổng hợp dạng nguyên sinh,https://hosocongty.vn/cong-ty-trach-nhiem-huu-han-san-xuat-thuong-mai-nhua-ngoc-thach-com-7.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-trach-nhiem-huu-han-san-xuat-thuong-mai-nhua-ngoc-thach-mst-1101772029.html,2024-08-10 16:48:07
CÔNG TY TNHH SẢN XUẤT - THƯƠNG MẠI - DỊCH VỤ TRỊNH - PHẠM,"194/17 Đường Tân Thới Hiệp 22, KP3, phường Tân Thới Hiệp, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",0312276613,15/05/2013,,,,,May trang phục (trừ trang phục từ da lông thú),https://hosocongty.vn/cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-trinh-pham-com-10773.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-trinh-pham-mst-0312276613.html,2024-08-10 16:48:19
CÔNG TY TNHH MỘT THÀNH VIÊN PETROSAVERS VN,"20 Sông Thao, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",0312276606,14/05/2013,0903057170,,Công ty TNHH một thành viên,,Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác,https://hosocongty.vn/cong-ty-tnhh-mot-thanh-vien-petrosavers-vn-com-10774.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mot-thanh-vien-petrosavers-vn-mst-0312276606.html,2024-08-10 16:48:26
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THẾ GIỚI CỬA SÀI GÒN,"1U Đường 1A, Phường Bình Hưng Hòa A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",0312276596,14/05/2013,0936788779,,,,"Bán buôn máy móc, thiết bị và phụ tùng máy khác",https://hosocongty.vn/cong-ty-tnhh-san-xuat-thuong-mai-the-gioi-cua-sai-gon-com-10775.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-san-xuat-thuong-mai-the-gioi-cua-sai-gon-mst-0312276596.html,2024-08-10 16:48:30
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG DOO MYUNG,"1280/22 Phạm Thế Hiển, Phường 5, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",0312276589,15/05/2013,0917178466,,,,Hoạt động thiết kế chuyên dụng,https://hosocongty.vn/cong-ty-tnhh-thuong-mai-dich-vu-xay-dung-doo-myung-com-10776.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-dich-vu-xay-dung-doo-myung-mst-0312276589.html,2024-08-10 16:48:34
CÔNG TY TNHH CÀ PHÊ TÂN THẾ KỶ,"481 Điện Biên Phủ, Phường 03, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",0312276571,14/05/2013,,,,,Sản xuất thực phẩm khác chưa được phân vào đâu,https://hosocongty.vn/cong-ty-tnhh-ca-phe-tan-the-ky-com-10777.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-ca-phe-tan-the-ky-mst-0312276571.html,2024-08-10 16:48:39
CÔNG TY CỔ PHẦN PHỤ KIỆN SỐ HÓA,"28 Mạc Đĩnh Chi, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",0312276564,14/05/2013,028 6685 8787,,Công ty cổ phần,,Bán buôn đồ dùng khác cho gia đình,https://hosocongty.vn/cong-ty-co-phan-phu-kien-so-hoa-com-10778.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-phu-kien-so-hoa-mst-0312276564.html,2024-08-10 16:48:46
CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG VẬN TẢI THÀNH VƯỢNG PHÁT,"551 Bà Hạt, Phường 08, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",0312276557,15/05/2013,090555578,,,,(Mã ngành cũ) - Xây dựng công trình kỹ thuật dân dụng khác,https://hosocongty.vn/cong-ty-tnhh-dau-tu-xay-dung-van-tai-thanh-vuong-phat-com-10779.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-dau-tu-xay-dung-van-tai-thanh-vuong-phat-mst-0312276557.html,2024-08-10 16:48:50
CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ MÔI GIỚI BẤT ĐỘNG SẢN ÁNH DƯƠNG,"401/13 Nguyễn Duy Trinh, Phường Bình Trưng Tây, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",0312276532,14/05/2013,0835085429,,Công ty TNHH một thành viên,,"Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất",https://hosocongty.vn/cong-ty-tnhh-mot-thanh-vien-dich-vu-moi-gioi-bat-dong-san-anh-duong-com-10780.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mot-thanh-vien-dich-vu-moi-gioi-bat-dong-san-anh-duong-mst-0312276532.html,2024-08-10 16:48:54
CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI XUẤT NHẬP KHẨU NGÂN SƠN,"57 Đường số 20, Khu dân cư Bình Hưng, Xã Bình Hưng, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",0312276476,14/05/2013,0835031811,,Công ty cổ phần,,Bán buôn chuyên doanh khác chưa được phân vào đâu,https://hosocongty.vn/cong-ty-co-phan-dau-tu-thuong-mai-xuat-nhap-khau-ngan-son-com-10781.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-dau-tu-thuong-mai-xuat-nhap-khau-ngan-son-mst-0312276476.html,2024-08-10 16:49:01
CÔNG TY CỔ PHẦN OILGASTECH,"Tòa nhà Rosana, 60 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",0312276469,14/05/2013,0822216530,,Công ty cổ phần,,"Bán buôn máy móc, thiết bị và phụ tùng máy khác",https://hosocongty.vn/cong-ty-co-phan-oilgastech-com-10782.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-oilgastech-mst-0312276469.html,2024-08-10 16:49:05
CÔNG TY CỔ PHẦN TƯ VẤN KIỂM ĐỊNH CÔNG TRÌNH MIỀN NAM,"28 đường 53C, Khu phố 9, Phường Tân Tạo, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",0312276451,14/05/2013,0983 234 329,,Công ty cổ phần,,Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan,https://hosocongty.vn/cong-ty-co-phan-tu-van-kiem-dinh-cong-trinh-mien-nam-com-10783.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-tu-van-kiem-dinh-cong-trinh-mien-nam-mst-0312276451.html,2024-08-10 16:49:09
CÔNG TY CỔ PHẦN TƯ VẤN THIẾT KẾ TRƯỜNG AN,"39 Hoa Hồng, Phường 02, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",0305163489,10/09/2007,0918108505,,Công ty cổ phần,,Hoạt động dịch vụ hỗ trợ kinh doanh khác chưa được phân vào đâu,https://hosocongty.vn/cong-ty-co-phan-tu-van-thiet-ke-truong-an-com-52441.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-tu-van-thiet-ke-truong-an-mst-0305163489.html,2024-08-10 16:49:16
CTY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI THỦ CÔNG MỸ NGHỆ PHƯƠNG MINH,"135/33 Trần Hưng Đạo P.COL, Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",0305163584,10/09/2007,,,,,"Bán lẻ hình thức khác (trừ bán lẻ tại cửa hàng, lưu động hoặc tại chợ)",https://hosocongty.vn/cty-tnhh-mot-thanh-vien-thuong-mai-thu-cong-my-nghe-phuong-minh-com-52442.htm,https://thuvienphapluat.vn/ma-so-thue/cty-tnhh-mot-thanh-vien-thuong-mai-thu-cong-my-nghe-phuong-minh-mst-0305163584.html,2024-08-10 16:49:20
CTY TNHH MỘT THÀNH VIÊN CHÂU KHÔI,"57 KDC Him Lam Đường Số 11 X.Bình Hưng, Xã Bình Hưng, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",0305163626,10/09/2007,,,,,"Bán lẻ hình thức khác (trừ bán lẻ tại cửa hàng, lưu động hoặc tại chợ)",https://hosocongty.vn/cty-tnhh-mot-thanh-vien-chau-khoi-com-52443.htm,https://thuvienphapluat.vn/ma-so-thue/cty-tnhh-mot-thanh-vien-chau-khoi-mst-0305163626.html,2024-08-10 16:49:28
CTY TNHH QUẢNG CÁO THIÊN PHÚC,"312 Đường D2 P.25, , Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",0305163658,10/09/2007,,,,,Quảng cáo,https://hosocongty.vn/cty-tnhh-quang-cao-thien-phuc-com-52444.htm,https://thuvienphapluat.vn/ma-so-thue/cty-tnhh-quang-cao-thien-phuc-mst-0305163658.html,2024-08-10 16:49:47
CTY TNHH THƯƠNG MẠI DỊCH VỤ NGÔ LÊ HỒNG,"457A/17 Nhật Tảo P.06, Phường 06, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",0305163665,10/09/2007,,,,,Bán buôn ô tô và xe có động cơ khác,https://hosocongty.vn/cty-tnhh-thuong-mai-dich-vu-ngo-le-hong-com-52445.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-dich-vu-ngo-le-hong-mst-0305163665.html,2024-08-10 16:50:01
CÔNG TY TNHH  XÂY DỰNG TRUNG HƯNG,"75/53 Gò Dầu, Phường Tân Quý, Quận Tân phú, Thành phố Hồ Chí Minh, Việt Nam",0305163721,10/09/2007,,,,,(Mã ngành cũ) - Xây dựng nhà các loại,https://hosocongty.vn/cong-ty-tnhh-xay-dung-trung-hung-com-52446.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-xay-dung-trung-hung-mst-0305163721.html,2024-08-10 16:50:16
CÔNG TY TNHH MỘT THÀNH VIÊN NGỌC TIÊN SA,"343/2G đường Tô Hiến Thành, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",0305163785,10/09/2007,,,Công ty TNHH một thành viên,,"Bán buôn máy móc, thiết bị và phụ tùng máy",https://hosocongty.vn/cong-ty-tnhh-mot-thanh-vien-ngoc-tien-sa-com-52447.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mot-thanh-vien-ngoc-tien-sa-mst-0305163785.html,2024-08-10 16:50:28
CÔNG TY TNHH QUẢNG CÁO MAI NGUYỄN,"1068/7 Âu Cơ, Phường 14, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",0305163880,10/09/2007,0903381261-0903157028,,Công ty TNHH hai thành viên trở lên,Đang hoạt động,Sản xuất khác chưa được phân vào đâu,https://hosocongty.vn/cong-ty-tnhh-quang-cao-mai-nguyen-com-52448.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-quang-cao-mai-nguyen-mst-0305163880.html,2024-08-10 16:50:36
CÔNG TY TNHH MỘT THÀNH VIÊN LỘC KHẢI,"87C Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân phú, Thành phố Hồ Chí Minh, Việt Nam",0305163908,10/09/2007,0838161092,,Công ty TNHH một thành viên,Đang hoạt động,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",https://hosocongty.vn/cong-ty-tnhh-mot-thanh-vien-loc-khai-com-52449.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mot-thanh-vien-loc-khai-mst-0305163908.html,2024-08-10 16:50:41
CTY CỔ PHẦN TÀI NGUYÊN CHÂU Á,"28 Phan Thúc Duyện, Phường 4, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",0305164034,10/09/2007,,,Công ty cổ phần,,"Bán buôn máy móc, thiết bị và phụ tùng máy",https://hosocongty.vn/cty-co-phan-tai-nguyen-chau-a-com-52450.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-tai-nguyen-chau-a-mst-0305164034.html,2024-08-10 16:50:45
CÔNG TY TNHH NHỰA NHẬT THĂNG,"282/8 Hòa Bình, Phường Hiệp Tân, Quận Tân phú, Thành phố Hồ Chí Minh, Việt Nam",0310342250,23/09/2010,38603888,,,,Sản xuất sản phẩm từ plastic,https://hosocongty.vn/cong-ty-tnhh-nhua-nhat-thang-com-93433.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-nhua-nhat-thang-mst-0310342250.html,2024-08-10 16:50:48
