name,address,tax_id,incorporation_date,phone,email,company_type,status,field_of_business,hosocongty_url,masothue_url,scraping_time
CÔNG TY TNHH KHÁCH SẠN HÙNG VƯƠNG GIA,"15-17 Song Hành, Phường 10, Quận 6, Thành phố Hồ Chí Minh, Việt Nam",0312468989,19/09/2013,0837553539,,,,Nhà hàng và các dịch vụ ăn uống phục vụ lưu động,https://hosocongty.vn/cong-ty-tnhh-khach-san-hung-vuong-gia-com-424.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-khach-san-hung-vuong-gia-mst-0312468989.html,2024-08-10 22:01:07
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THIẾT KẾ XÂY DỰNG LÊ PHAN,"536/43/10/4 âu Cơ, Phường 10, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",0312468971,19/09/2013,0907940232,,,,(Mã ngành cũ) - Xây dựng nhà các loại,https://hosocongty.vn/cong-ty-tnhh-thuong-mai-dich-vu-thiet-ke-xay-dung-le-phan-com-425.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-dich-vu-thiet-ke-xay-dung-le-phan-mst-0312468971.html,2024-08-10 22:01:10
CÔNG TY TNHH DỊCH VỤ TƯ VẤN VÀ THƯƠNG MẠI HIỆP THÀNH,"313 Nguyễn Thượng Hiền, Phường 04, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",0312468964,19/09/2013,0975258388,,,,Hoạt động tư vấn quản lý,https://hosocongty.vn/cong-ty-tnhh-dich-vu-tu-van-va-thuong-mai-hiep-thanh-com-426.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-dich-vu-tu-van-va-thuong-mai-hiep-thanh-mst-0312468964.html,2024-08-10 22:01:14
CÔNG TY TNHH THƯƠNG MẠI ĐẠI DƯƠNG VÀNG,"52 Đông Du, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",0312468957,19/09/2013,0866802616-090978348,,,,"Đại lý, môi giới, đấu giá",https://hosocongty.vn/cong-ty-tnhh-thuong-mai-dai-duong-vang-com-427.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-dai-duong-vang-mst-0312468957.html,2024-08-10 22:01:18
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ CƠ ĐIỆN ĐIỆN TỬ THIẾT BỊ TIN HỌC MINH HUY SÀI GÒN,"số 4/2 đường 6, khu phố 1, Phường Thạnh Mỹ Lợi, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",0312468925,19/09/2013,0918832042,,Công ty TNHH một thành viên,,"Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm",https://hosocongty.vn/cong-ty-tnhh-mot-thanh-vien-thuong-mai-dich-vu-co-dien-dien-tu-thiet-bi-tin-hoc-minh-huy-sai-gon-com-428.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mot-thanh-vien-thuong-mai-dich-vu-co-dien-dien-tu-thiet-bi-tin-hoc-minh-huy-sai-gon-mst-0312468925.html,2024-08-10 22:01:22
CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI XÂY DỰNG UDO,"Tầng 2, 14B Cống Quỳnh, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",0312468731,19/09/2013,0839208147,,,,Xây dựng nhà để ở,https://hosocongty.vn/cong-ty-tnhh-dau-tu-thuong-mai-xay-dung-udo-com-429.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-dau-tu-thuong-mai-xay-dung-udo-mst-0312468731.html,2024-08-10 22:01:31
CÔNG TY CỔ PHẦN DỊCH VỤ BẢO VỆ THẮNG LỢI TOÀN CẦU,"710/6/14 Phan Văn Trị, Phường 10, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",0312468724,19/09/2013,0938139389,,Công ty cổ phần,,Hoạt động bảo vệ tư nhân,https://hosocongty.vn/cong-ty-co-phan-dich-vu-bao-ve-thang-loi-toan-cau-com-430.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-dich-vu-bao-ve-thang-loi-toan-cau-mst-0312468724.html,2024-08-10 22:01:34
CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ BÍCH PHƯỢNG,"Số 18 Đường Sư Vạn Hạnh, Phường 09, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",0312468717,20/09/2013,,,Công ty TNHH một thành viên,,Hoạt động viễn thông khác,https://hosocongty.vn/cong-ty-tnhh-mot-thanh-vien-dich-vu-bich-phuong-com-431.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mot-thanh-vien-dich-vu-bich-phuong-mst-0312468717.html,2024-08-10 22:01:38
CÔNG TY TNHH XÂY DỰNG HẠ TẦNG ĐỨC AN,"Số 299/35 Phước Thiện, Khu phố Phước Thiện, Phường Long Bình, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",0312468682,19/09/2013,0932283366,,,,Xây dựng công trình kỹ thuật dân dụng khác,https://hosocongty.vn/cong-ty-tnhh-xay-dung-ha-tang-duc-an-com-432.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-xay-dung-ha-tang-duc-an-mst-0312468682.html,2024-08-10 22:01:58
DOANH NGHIỆP TƯ NHÂN ĐẦU TƯ KHÁCH SẠN THIÊN LỘC PHÁT,"36/11 ấp Trung Chánh 2, Xã Trung Chánh, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",0312469132,20/09/2013,0837182668,,Doanh nghiệp tư nhân,,Dịch vụ lưu trú ngắn ngày,https://hosocongty.vn/doanh-nghiep-tu-nhan-dau-tu-khach-san-thien-loc-phat-com-411.htm,https://thuvienphapluat.vn/ma-so-thue/doanh-nghiep-tu-nhan-dau-tu-khach-san-thien-loc-phat-mst-0312469132.html,2024-08-10 22:02:06
CÔNG TY CỔ PHẦN NỘI THẤT T.MEN,"B10/15A đường Tân Quý Tây, ấp 2, Xã Tân Quý Tây, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",0312469125,19/09/2013,0979829879,,Công ty cổ phần,,"Sản xuất giường, tủ, bàn, ghế",https://hosocongty.vn/cong-ty-co-phan-noi-that-tmen-com-412.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-noi-that-tmen-mst-0312469125.html,2024-08-10 22:02:29
CÔNG TY CỔ PHẦN QUẢNG CÁO M.A.S.H,"Tầng 21, Tòa Nhà Pearl Plaza, 561A Điện Biên Phủ, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",0312469118,19/09/2013,0862911948,,Công ty cổ phần,,Quảng cáo,https://hosocongty.vn/cong-ty-co-phan-quang-cao-mash-com-413.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-quang-cao-mash-mst-0312469118.html,2024-08-10 22:02:44
DOANH NGHIỆP TƯ NHÂN VÀNG BẠC ĐÁ QUÝ KIM PHƯỢNG,"535B Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",0312469100,19/09/2013,0903999759,,Doanh nghiệp tư nhân,,Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh,https://hosocongty.vn/doanh-nghiep-tu-nhan-vang-bac-da-quy-kim-phuong-com-414.htm,https://thuvienphapluat.vn/ma-so-thue/doanh-nghiep-tu-nhan-vang-bac-da-quy-kim-phuong-mst-0312469100.html,2024-08-10 22:02:48
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ DU LỊCH 3T,"256 Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân phú, Thành phố Hồ Chí Minh, Việt Nam",0312469090,19/09/2013,090996587,,,,Đại lý du lịch,https://hosocongty.vn/cong-ty-tnhh-thuong-mai-dich-vu-du-lich-3t-com-415.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-dich-vu-du-lich-3t-mst-0312469090.html,2024-08-10 22:02:52
CÔNG TY TNHH THƯƠNG MẠI NGỌC NGỌC CHÂU,"814/27 Sư Vạn Hạnh (nối dài), Phường 12, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",0312469083,19/09/2013,0862643688,,,,Bán buôn chuyên doanh khác chưa được phân vào đâu,https://hosocongty.vn/cong-ty-tnhh-thuong-mai-ngoc-ngoc-chau-com-416.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-ngoc-ngoc-chau-mst-0312469083.html,2024-08-10 22:02:55
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TƯ VẤN LÊ VY,"62D Đường số 1, Khu phố 22, Phường Bình Hưng Hòa A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",0312469076,19/09/2013,0913146359,,,,Hoạt động hỗ trợ dịch vụ tài chính chưa được phân vào đâu,https://hosocongty.vn/cong-ty-tnhh-thuong-mai-dich-vu-tu-van-le-vy-com-417.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-dich-vu-tu-van-le-vy-mst-0312469076.html,2024-08-10 22:02:58
CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ HẢI CHÂU,"209/5 TMT 2A, phường Trung Mỹ Tây, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",0312469069,19/09/2013,,,Công ty TNHH một thành viên,,"Sản xuất đồ uống không cồn, nước khoáng",https://hosocongty.vn/cong-ty-tnhh-mot-thanh-vien-dau-tu-hai-chau-com-418.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mot-thanh-vien-dau-tu-hai-chau-mst-0312469069.html,2024-08-10 22:03:04
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ PHÁT THỊNH NAM,"15/19 Đường HT11, Tổ 34, khu phố 3, phường Hiệp Thành, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",0312469044,19/09/2013,0935175898,,Công ty TNHH một thành viên,,Hoạt động viễn thông khác,https://hosocongty.vn/cong-ty-tnhh-mot-thanh-vien-thuong-mai-dich-vu-phat-thinh-nam-com-419.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mot-thanh-vien-thuong-mai-dich-vu-phat-thinh-nam-mst-0312469044.html,2024-08-10 22:03:11
CÔNG TY TNHH NHÀ HÀNG BẾP VIỆT,"110/815E Nguyễn Kiệm, Phường 3, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",0312469037,19/09/2013,0975404143,,,,Nhà hàng và các dịch vụ ăn uống phục vụ lưu động,https://hosocongty.vn/cong-ty-tnhh-nha-hang-bep-viet-com-420.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-nha-hang-bep-viet-mst-0312469037.html,2024-08-10 22:03:15
CÔNG TY TNHH DH COATECH,"788/62C Nguyễn Kiệm, Phường 3, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",0312468636,19/09/2013,0903099759,,,,"Sản xuất sơn, vec ni và các chất sơn, quét tương tự; sản xuất mực in và ma tít",https://hosocongty.vn/cong-ty-tnhh-dh-coatech-com-433.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-dh-coatech-mst-0312468636.html,2024-08-10 22:03:19
CÔNG TY TNHH TƯ VẤN ĐẦU TƯ QUỐC TẾ NHÂN ĐÔI,"Tòa nhà International Plaza, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",0312468629,19/09/2013,,,,,Dịch vụ hỗ trợ giáo dục,https://hosocongty.vn/cong-ty-tnhh-tu-van-dau-tu-quoc-te-nhan-doi-com-434.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-tu-van-dau-tu-quoc-te-nhan-doi-mst-0312468629.html,2024-08-10 22:03:23
CÔNG TY TNHH THỰC PHẨM BÍCH THẢO,"56/31 Bùi Minh Trực, Phường 5, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",0312468509,19/09/2013,,,,,Bán buôn thực phẩm,https://hosocongty.vn/cong-ty-tnhh-thuc-pham-bich-thao-com-445.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuc-pham-bich-thao-mst-0312468509.html,2024-08-10 22:03:27
CÔNG TY TRÁCH NHIỆM HỮU HẠN NHÀ HÀNG NỤ CƯỜI VIỆT,"18A Cộng Hòa, Phường 12, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",0312468499,19/09/2013,0838118544-0986,,,,Nhà hàng và các dịch vụ ăn uống phục vụ lưu động,https://hosocongty.vn/cong-ty-trach-nhiem-huu-han-nha-hang-nu-cuoi-viet-com-446.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-trach-nhiem-huu-han-nha-hang-nu-cuoi-viet-mst-0312468499.html,2024-08-10 22:03:34
CÔNG TY TNHH TÂM TRUNG HƯNG,"318/79 Hoàng Sa, Phường 5, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",0312468481,19/09/2013,0935693898,,,,"Đại lý, môi giới, đấu giá",https://hosocongty.vn/cong-ty-tnhh-tam-trung-hung-com-447.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-tam-trung-hung-mst-0312468481.html,2024-08-10 22:03:37
CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG KINH DOANH NGUYÊN KHANG,"49/10 Bùi Xuân Phái, Phường Tây Thạnh, Quận Tân phú, Thành phố Hồ Chí Minh, Việt Nam",0312468474,19/09/2013,0837261128,,,,"Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất",https://hosocongty.vn/cong-ty-tnhh-dau-tu-xay-dung-kinh-doanh-nguyen-khang-com-448.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-dau-tu-xay-dung-kinh-doanh-nguyen-khang-mst-0312468474.html,2024-08-10 22:03:40
CÔNG TY TNHH UNITED ARAB SHIPPING AGENCY (VIỆT NAM),"Tầng 14 Germadept Tower 2Bis-4-6 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",0312468435,19/09/2013,,,,,Vận tải hàng hóa ven biển và viễn dương,https://hosocongty.vn/cong-ty-tnhh-united-arab-shipping-agency--viet-nam--com-449.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-united-arab-shipping-agency-viet-nam-ntnn-mst-0312468435.html,2024-08-10 22:04:02
CÔNG TY TNHH KỸ THUẬT SEIL,"224/37/4A Đường TX 22 Khu Phố 7, phường Thạnh Xuân, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",0312468361,19/09/2013,,,,,Lắp đặt hệ thống xây dựng khác,https://hosocongty.vn/cong-ty-tnhh-ky-thuat-seil-com-450.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-ky-thuat-seil-ntnn-mst-0312468361.html,2024-08-10 22:04:12
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT XƯƠNG HƯNG,"57/9A Phan Văn Hớn, ấp Tiền Lân, Xã Bà Điểm, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",0312468347,19/09/2013,,,,,Bán buôn đồ dùng khác cho gia đình,https://hosocongty.vn/cong-ty-tnhh-thuong-mai-dich-vu-san-xuat-xuong-hung-com-451.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-dich-vu-san-xuat-xuong-hung-mst-0312468347.html,2024-08-10 22:04:32
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ HÀNG HÓA ĐỒNG PHÁT,"109/57/18 Đường số 8, Khu phố 1, Phường Linh Xuân, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",0312468322,19/09/2013,0837268574,,Công ty TNHH một thành viên,,Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải,https://hosocongty.vn/cong-ty-tnhh-mot-thanh-vien-thuong-mai-dich-vu-hang-hoa-dong-phat-com-452.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mot-thanh-vien-thuong-mai-dich-vu-hang-hoa-dong-phat-mst-0312468322.html,2024-08-10 22:04:46
CÔNG TY CỔ PHẦN ĐỊA ỐC PHÚC ĐẠT,"177 Võ Nguyên Giáp, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",0312468315,19/09/2013,,,Công ty cổ phần,,"(Mã ngành cũ) - Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",https://hosocongty.vn/cong-ty-co-phan-dia-oc-phuc-dat-com-453.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-dia-oc-phuc-dat-ntnn-mst-0312468315.html,2024-08-10 22:04:50
CÔNG TY TNHH THƯƠNG MẠI NHẬT MINH QUANG,"28/6/1A Chương Dương, Khu phố 3, Phường Linh Chiểu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",0312468308,19/09/2013,0925853879,,,,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",https://hosocongty.vn/cong-ty-tnhh-thuong-mai-nhat-minh-quang-com-454.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-nhat-minh-quang-mst-0312468308.html,2024-08-10 22:04:54
CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT TRUNG ÁNH BẢO,"1192 Kha Vạn Cân, Phường Linh Chiểu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",0312468298,19/09/2013,0838979735,,,,"Sản xuất thức ăn gia súc, gia cầm và thuỷ sản",https://hosocongty.vn/cong-ty-tnhh-thuong-mai-san-xuat-trung-anh-bao-com-455.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-san-xuat-trung-anh-bao-mst-0312468298.html,2024-08-10 22:04:58
CÔNG TY CỔ PHẦN ĐẦU TƯ XUẤT NHẬP KHẨU THỦY SẢN MINH HIẾU,"53 Đường số 4, ấp 5, Xã Phong Phú, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",0312468280,19/09/2013,01234514663,,Công ty cổ phần,,Bán buôn thực phẩm,https://hosocongty.vn/cong-ty-co-phan-dau-tu-xuat-nhap-khau-thuy-san-minh-hieu-com-456.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-dau-tu-xuat-nhap-khau-thuy-san-minh-hieu-mst-0312468280.html,2024-08-10 22:05:01
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN SAO PHƯƠNG NAM,"Lầu 16, Tòa nhà Quốc Cường Gia Lai, số 421 Trần Xuân Soạn, Phường Tân Kiểng, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",0312468611,19/09/2013,0862886868-0909992,,Công ty cổ phần,,Quảng cáo,https://hosocongty.vn/cong-ty-co-phan-dau-tu-va-phat-trien-sao-phuong-nam-com-435.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-dau-tu-va-phat-trien-sao-phuong-nam-mst-0312468611.html,2024-08-10 22:05:07
CÔNG TY TNHH ẨM THỰC TABAC,"Số 104 Đường Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",0312468604,19/09/2013,0839142409,,,,Nhà hàng và các dịch vụ ăn uống phục vụ lưu động,https://hosocongty.vn/cong-ty-tnhh-am-thuc-tabac-com-436.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-am-thuc-tabac-mst-0312468604.html,2024-08-10 22:05:10
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG SƠN THÀNH,"Số nhà 2/19 đường Diệp Minh Châu, Phường Tân Sơn Nhì, Quận Tân phú, Thành phố Hồ Chí Minh, Việt Nam",0312468594,19/09/2013,0982116168,,,,(Mã ngành cũ) - Xây dựng công trình đường sắt và đường bộ,https://hosocongty.vn/cong-ty-tnhh-thuong-mai-dich-vu-xay-dung-son-thanh-com-437.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-dich-vu-xay-dung-son-thanh-mst-0312468594.html,2024-08-10 22:05:14
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KỸ THUẬT THẾ SƠN,"370/3 Phạm Văn Bạch, Phường 15, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",0312468587,19/09/2013,0903978098,,,,"Bán buôn máy móc, thiết bị và phụ tùng máy khác",https://hosocongty.vn/cong-ty-tnhh-thuong-mai-dich-vu-ky-thuat-the-son-com-438.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-dich-vu-ky-thuat-the-son-mst-0312468587.html,2024-08-10 22:05:21
CÔNG TY TNHH THỜI TRANG NHẤT TÂM,"63/4E Trần Văn Mười, Xã Xuân Thới Đông, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",0312468562,19/09/2013,0854275568,,,,May trang phục (trừ trang phục từ da lông thú),https://hosocongty.vn/cong-ty-tnhh-thoi-trang-nhat-tam-com-439.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thoi-trang-nhat-tam-mst-0312468562.html,2024-08-10 22:05:24
CÔNG TY CỔ PHẦN SẢN XUẤT THƯƠNG MẠI DỊCH VỤ ĐẦU TƯ Á ÂU,"Số 90 Hà Huy Giáp, Tổ 7, Khu phố 3A, phường Thạnh Lộc, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",0312468555,19/09/2013,0982431343,,Công ty cổ phần,,Bán buôn đồ dùng khác cho gia đình,https://hosocongty.vn/cong-ty-co-phan-san-xuat-thuong-mai-dich-vu-dau-tu-a-au-com-440.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-san-xuat-thuong-mai-dich-vu-dau-tu-a-au-mst-0312468555.html,2024-08-10 22:05:28
CÔNG TY TNHH CHẾ TẠO MÁY NỒI HƠI PHÚC LỘC PHÁT,"51 Hương Lộ 2, ấp Đình, Xã Tân Phú Trung, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam",0312468548,19/09/2013,0976373474,,,,"Bán buôn máy móc, thiết bị và phụ tùng máy khác",https://hosocongty.vn/cong-ty-tnhh-che-tao-may-noi-hoi-phuc-loc-phat-com-441.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-che-tao-may-noi-hoi-phuc-loc-phat-mst-0312468548.html,2024-08-10 22:05:35
CÔNG TY TNHH TIẾN PHÚC ĐỨC,"202 Lý Chính Thắng, Phường 09, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",0312468530,19/09/2013,0839311039,,,,Nhà hàng và các dịch vụ ăn uống phục vụ lưu động,https://hosocongty.vn/cong-ty-tnhh-tien-phuc-duc-com-442.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-tien-phuc-duc-mst-0312468530.html,2024-08-10 22:05:39
CÔNG TY TNHH MINH TRIÊU,"451/18C Phạm Thế Hiển, Phường 3, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",0312468523,19/09/2013,0838517621,,,,Đào tạo trung cấp,https://hosocongty.vn/cong-ty-tnhh-minh-trieu-com-443.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-minh-trieu-mst-0312468523.html,2024-08-10 22:05:42
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ PHÚ AN KHANG CHEMICAL,"29/3B1 ấp Mỹ Hòa 3, Xã Tân Xuân, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",0312468516,19/09/2013,,,,,Bán buôn chuyên doanh khác chưa được phân vào đâu,https://hosocongty.vn/cong-ty-tnhh-thuong-mai-dich-vu-phu-an-khang-chemical-com-444.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-dich-vu-phu-an-khang-chemical-mst-0312468516.html,2024-08-10 22:06:03
CÔNG TY CỔ PHẦN ĐẦU TƯ XÚC TIẾN THƯƠNG MẠI QUỐC TẾ VIET BUSINESS CLUBS,"Lầu 19 tòa nhà Indochina Park Tower, Số 4 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",0312468273,19/09/2013,,,Công ty cổ phần,,Quảng cáo,https://hosocongty.vn/cong-ty-co-phan-dau-tu-xuc-tien-thuong-mai-quoc-te-viet-business-clubs-com-457.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-dau-tu-xuc-tien-thuong-mai-quoc-te-viet-business-clubs-mst-0312468273.html,2024-08-10 22:06:18
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ DU LỊCH GIANG THANH,"414/3 Nguyễn Tri Phương, Phường 04, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",0312468241,19/09/2013,0914878809-0866814,,,,Bán buôn đồ dùng khác cho gia đình,https://hosocongty.vn/cong-ty-tnhh-thuong-mai-dich-vu-du-lich-giang-thanh-com-458.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-dich-vu-du-lich-giang-thanh-mst-0312468241.html,2024-08-10 22:06:29
CÔNG TY TNHH CÁ NGON,"330 Trường Chinh, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",0312468234,19/09/2013,0938760766,,,,Bán lẻ thực phẩm trong các cửa hàng chuyên doanh,https://hosocongty.vn/cong-ty-tnhh-ca-ngon-com-459.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-ca-ngon-mst-0312468234.html,2024-08-10 22:06:46
CÔNG TY TNHH ENCORE,"B25 Cư xá Nguyên Hồng, Phường 11, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",0312468227,19/09/2013,0937886799,,,,Hoạt động thiết kế chuyên dụng,https://hosocongty.vn/cong-ty-tnhh-encore-com-460.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-encore-mst-0312468227.html,2024-08-10 22:06:50
Công Ty TNHH WT Partnership Việt Nam (NTNN),"Văn phòng 1101 � 1106, Tầng 11, Tòa nhà Citilight, Số 45 Đườ, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",0312468192,19/09/2013,,,,,Hoạt động dịch vụ hỗ trợ kinh doanh khác chưa được phân vào đâu,https://hosocongty.vn/cong-ty-tnhh-wt-partnership-viet-nam--ntnn--com-461.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-wt-partnership-viet-nam-ntnn-mst-0312468192.html,2024-08-10 22:06:53
CÔNG TY TNHH THẾ GIỚI NỘI THẤT HCM,"220/40 Nguyễn Xí, Phường 26, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",0312468185,19/09/2013,0862979598,,,,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",https://hosocongty.vn/cong-ty-tnhh-the-gioi-noi-that-hcm-com-462.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-the-gioi-noi-that-hcm-mst-0312468185.html,2024-08-10 22:06:57
CÔNG TY CỔ PHẦN NX TOÀN CẦU,"107A Trương Định, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",0312468160,19/09/2013,0866590666,,Công ty cổ phần,Đang hoạt động,Dịch vụ phục vụ đồ uống,https://hosocongty.vn/cong-ty-co-phan-nx-toan-cau-com-463.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-nx-toan-cau-mst-0312468160.html,2024-08-10 22:07:01
